run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_emily_brooks_james_carter,similarity_emily_brooks_sarah_mitchell,similarity_james_carter_sarah_mitchell
low_treatment_20260604_140134_024,low,treatment,low_treatment_20260604_140134_024,completed,20260604_170149,2026-06-04T17:09:22+0200,3,9,12,24,27,33,180787,84668,265455,321290.83,452.6659,Candidate C,consensus,Candidate C,1,0.938152,0.935193,0.940968,0.938152,0.722222,0.677554,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_024/metadata.json,0,0,3,0,0.935193,0.940968,0.938296
low_treatment_20260604_140134_025,low,treatment,low_treatment_20260604_140134_025,completed,20260604_170925,2026-06-04T17:21:44+0200,5,15,15,30,45,45,282866,142338,425204,321290.83,739.6008,Candidate C,max_round_majority_vote,Candidate C,1,0.939902,0.937587,0.94183,0.939902,0.888889,0.835469,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_025/metadata.json,0,1,2,0,0.940289,0.937587,0.94183
low_treatment_20260604_140134_026,low,treatment,low_treatment_20260604_140134_026,completed,20260604_172147,2026-06-04T17:28:42+0200,3,8,8,16,26,24,149754,79086,228840,321290.83,414.8774,Candidate C,consensus,Candidate C,1,0.946819,0.940356,0.956749,0.946819,0.722222,0.683814,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_026/metadata.json,0,0,3,0,0.943351,0.956749,0.940356
low_treatment_20260604_140134_027,low,treatment,low_treatment_20260604_140134_027,completed,20260604_172845,2026-06-04T17:48:56+0200,5,15,11,22,45,37,231135,121047,352182,321290.83,1211.1971,Candidate C,consensus,Candidate C,1,0.938953,0.937315,0.942145,0.938953,0.777778,0.730297,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_027/metadata.json,0,0,3,0,0.937315,0.937398,0.942145
low_treatment_20260604_140134_028,low,treatment,low_treatment_20260604_140134_028,completed,20260604_174900,2026-06-04T17:55:49+0200,3,9,9,18,26,27,153572,78679,232251,321290.83,409.9746,Candidate C,consensus,Candidate C,1,0.932303,0.929445,0.937262,0.932303,0.777778,0.725125,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_028/metadata.json,0,0,3,0,0.929445,0.937262,0.930202
low_treatment_20260604_140134_029,low,treatment,low_treatment_20260604_140134_029,completed,20260604_175552,2026-06-04T18:00:07+0200,2,6,4,8,18,14,85325,49312,134637,321290.83,254.4851,Candidate C,consensus,Candidate C,1,0.937862,0.925563,0.953119,0.937862,0.666667,0.625242,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_029/metadata.json,0,0,3,0,0.925563,0.934904,0.953119
low_treatment_20260604_140134_030,low,treatment,low_treatment_20260604_140134_030,completed,20260604_180010,2026-06-04T18:09:36+0200,4,12,9,18,34,30,196235,109106,305341,321290.83,566.6521,Candidate C,consensus,Candidate C,1,0.93414,0.928984,0.938931,0.93414,0.777778,0.726554,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_030/metadata.json,0,0,3,0,0.938931,0.928984,0.934506
low_treatment_20260604_140134_031,low,treatment,low_treatment_20260604_140134_031,completed,20260604_180940,2026-06-04T18:13:44+0200,2,6,5,10,18,16,91040,47730,138770,321290.83,244.8318,Candidate C,consensus,Candidate C,1,0.948743,0.940339,0.954691,0.948743,0.777778,0.737911,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_031/metadata.json,0,0,3,0,0.951198,0.954691,0.940339
low_treatment_20260604_140134_032,low,treatment,low_treatment_20260604_140134_032,completed,20260604_181348,2026-06-04T18:23:03+0200,4,12,8,16,34,28,193665,107724,301389,321290.83,555.5086,Candidate C,consensus,Candidate C,1,0.91957,0.905355,0.943632,0.91957,0.666667,0.613047,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_032/metadata.json,0,0,3,0,0.943632,0.905355,0.909723
low_treatment_20260604_140134_033,low,treatment,low_treatment_20260604_140134_033,completed,20260604_182307,2026-06-04T18:27:42+0200,2,6,5,10,18,16,93888,54240,148128,321290.83,275.2416,Candidate C,consensus,Candidate C,1,0.92618,0.914717,0.936737,0.92618,0.611111,0.565999,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_033/metadata.json,0,0,3,0,0.914717,0.927087,0.936737
low_treatment_20260604_140134_034,low,treatment,low_treatment_20260604_140134_034,completed,20260604_182745,2026-06-04T18:33:01+0200,2,6,7,14,18,20,111482,59029,170511,321290.83,316.3875,Candidate C,consensus,Candidate C,1,0.946777,0.9348,0.959969,0.946777,0.611111,0.578586,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_034/metadata.json,0,0,3,0,0.945562,0.9348,0.959969
low_treatment_20260604_140134_035,low,treatment,low_treatment_20260604_140134_035,completed,20260604_183304,2026-06-04T18:37:47+0200,2,6,8,16,16,22,106916,54230,161146,321290.83,282.5782,Candidate C,consensus,Candidate C,1,0.946472,0.943433,0.949768,0.946472,0.611111,0.578399,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_035/metadata.json,0,0,3,0,0.949768,0.943433,0.946214
low_treatment_20260604_140134_036,low,treatment,low_treatment_20260604_140134_036,completed,20260604_183750,2026-06-04T18:58:52+0200,5,15,11,22,44,37,238448,132419,370867,321290.83,1261.8185,Candidate C,consensus,Candidate C,1,0.934448,0.917073,0.95496,0.934448,0.777778,0.726793,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_036/metadata.json,0,0,3,0,0.917073,0.95496,0.931312
low_treatment_20260604_140134_037,low,treatment,low_treatment_20260604_140134_037,completed,20260604_185855,2026-06-04T19:10:22+0200,5,15,13,26,42,41,258688,131941,390629,321290.83,687.1927,Candidate C,max_round_majority_vote,Candidate C,1,0.924146,0.915028,0.933371,0.924146,0.833333,0.770121,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_037/metadata.json,0,1,2,0,0.915028,0.924039,0.933371
low_treatment_20260604_140134_038,low,treatment,low_treatment_20260604_140134_038,completed,20260604_191025,2026-06-04T19:15:06+0200,2,6,7,14,18,20,102905,53931,156836,321290.83,281.0755,Candidate B,consensus,Candidate C,0,0.925732,0.900007,0.943679,0.925732,0.555556,0.514296,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_038/metadata.json,0,3,0,0,0.900007,0.943679,0.933511
low_treatment_20260604_140134_039,low,treatment,low_treatment_20260604_140134_039,completed,20260604_191509,2026-06-04T19:26:33+0200,5,15,10,20,43,35,243203,132204,375407,321290.83,684.159,Candidate C,max_round_majority_vote,Candidate C,1,0.942554,0.937707,0.948672,0.942554,0.666667,0.62837,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_039/metadata.json,0,1,2,0,0.948672,0.937707,0.941283
low_treatment_20260604_140134_040,low,treatment,low_treatment_20260604_140134_040,completed,20260604_192636,2026-06-04T19:30:43+0200,2,6,3,6,17,12,84261,47298,131559,321290.83,246.286,Candidate B,consensus,Candidate C,0,0.94906,0.945654,0.955368,0.94906,0.611111,0.579981,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_040/metadata.json,0,3,0,0,0.946157,0.955368,0.945654
low_treatment_20260604_140134_041,low,treatment,low_treatment_20260604_140134_041,completed,20260604_193046,2026-06-04T19:35:30+0200,2,6,6,12,18,18,101467,54505,155972,321290.83,284.6699,Candidate C,consensus,Candidate C,1,0.938589,0.9344,0.945061,0.938589,0.833333,0.782157,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_041/metadata.json,0,0,3,0,0.945061,0.9344,0.936305
low_treatment_20260604_140134_042,low,treatment,low_treatment_20260604_140134_042,completed,20260604_193533,2026-06-04T19:40:12+0200,2,6,5,10,17,16,92842,53208,146050,321290.83,278.5872,Candidate C,consensus,Candidate C,1,0.937763,0.935146,0.939571,0.937763,0.555556,0.52098,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_042/metadata.json,0,0,3,0,0.935146,0.938571,0.939571
