run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
moderate_treatment_20260608_192144_059,moderate,treatment,moderate_treatment_059,completed,20260609_025449,2026-06-09T03:00:12+0200,2,6,3,6,18,12,103158,61467,164625,,323.3398,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_059/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_060,moderate,treatment,moderate_treatment_060,completed,20260609_030015,2026-06-09T03:04:39+0200,2,6,3,6,18,12,95567,51564,147131,,264.218,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_060/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_061,moderate,treatment,moderate_treatment_061,completed,20260609_030442,2026-06-09T03:10:01+0200,2,6,6,12,17,18,116342,60632,176974,,318.6683,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_061/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_062,moderate,treatment,moderate_treatment_062,completed,20260609_031004,2026-06-09T03:24:48+0200,5,15,4,8,43,23,307581,166885,474466,,883.7563,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_062/metadata.json,0,2,1,0
moderate_treatment_20260608_192144_063,moderate,treatment,moderate_treatment_063,completed,20260609_032451,2026-06-09T03:29:26+0200,2,6,4,8,18,14,100402,52720,153122,,275.1107,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_063/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_064,moderate,treatment,moderate_treatment_064,completed,20260609_032929,2026-06-09T03:37:36+0200,3,9,5,10,27,19,177753,92146,269899,,486.8182,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_064/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_065,moderate,treatment,moderate_treatment_065,completed,20260609_033739,2026-06-09T03:46:19+0200,3,9,6,12,27,21,181883,100486,282369,,520.4739,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_065/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_066,moderate,treatment,moderate_treatment_066,completed,20260609_034623,2026-06-09T03:51:41+0200,2,6,4,8,18,14,107250,61910,169160,,317.9522,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_066/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_067,moderate,treatment,moderate_treatment_067,completed,20260609_035144,2026-06-09T03:57:41+0200,2,6,6,12,18,18,127199,68416,195615,,357.1761,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_067/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_068,moderate,treatment,moderate_treatment_068,completed,20260609_035744,2026-06-09T04:06:08+0200,3,9,7,14,26,23,192564,94500,287064,,503.7987,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_068/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_069,moderate,treatment,moderate_treatment_069,completed,20260609_040611,2026-06-09T04:21:13+0200,5,15,6,12,45,27,317130,170398,487528,,902.0234,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_069/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_070,moderate,treatment,moderate_treatment_070,completed,20260609_042117,2026-06-09T04:26:53+0200,2,6,4,8,17,14,115048,63392,178440,,336.4139,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_070/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_071,moderate,treatment,moderate_treatment_071,completed,20260609_042656,2026-06-09T04:32:40+0200,2,6,6,12,18,18,123517,66966,190483,,343.6271,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_071/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_072,moderate,treatment,moderate_treatment_072,completed,20260609_043242,2026-06-09T04:38:16+0200,2,6,3,6,17,12,97968,63920,161888,,333.0478,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_072/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_073,moderate,treatment,moderate_treatment_073,completed,20260609_043819,2026-06-09T04:44:13+0200,2,6,5,10,17,16,124869,68243,193112,,354.1678,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_073/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_074,moderate,treatment,moderate_treatment_074,completed,20260609_044416,2026-06-09T04:50:39+0200,2,6,5,10,18,16,125235,70825,196060,,383.8015,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_074/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_075,moderate,treatment,moderate_treatment_075,completed,20260609_045042,2026-06-09T04:55:51+0200,2,6,4,8,18,14,106579,60434,167013,,308.6285,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_075/metadata.json,0,0,3,0
