agent_tool_calls,agent_turns,all_evidence_shared_recall,all_evidence_union_recall,condition,cooperation_behavior_score,coordination_accuracy,decision_correct,decision_method,decision_state_accuracy,evidence_quality,final_candidate,important_evidence_shared_recall,important_evidence_union_recall,metadata_file,old_embedding_similarity,old_smm_quality,public_important_fact_recall,quality_penalty,rounds,run_id,similarity_candidate_coverage_checklist,similarity_candidate_review_status,similarity_current_positions,similarity_group_decision_state,similarity_information_distribution,smm_mode,smm_quality_cognitive_only,smm_quality_cognitive_only_raw,smm_quality_prototype,smm_quality_raw,smm_quality_without_decision_state,smm_quality_without_decision_state_raw,smm_whole_similarity,tool_usefulness_score,total_tokens,unsupported_flag_count,vote_revision_score
1,6,0.659259,0.955556,high,0.629386,1.0,1,consensus,0.8,0.723684,Candidate C,0.657895,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_024/metadata.json,0.948172,0.790143,0.447368,0.0,2,high_treatment_20260606_092841_024,0.865122,0.809238,0.718921,0.745785,0.571717,treatment,0.798026,0.798026,0.780066,0.780066,0.773904,0.773904,0.741084,1.0,203693,0,0.666667
0,6,0.688889,0.881481,high,0.495175,1.0,1,consensus,1.0,0.769737,Candidate C,0.736842,0.868421,01_data/backup/backup_01/high/high_treatment_20260606_092841_025/metadata.json,0.952749,0.793957,0.657895,0.0,2,high_treatment_20260606_092841_025,0.6325,0.840817,0.697077,0.747476,0.554013,treatment,0.873355,0.873355,0.820658,0.820658,0.77239,0.77239,0.722396,0.0,180555,0,0.666667
2,6,0.614815,1.0,high,0.331414,1.0,0,consensus,0.4,0.684211,Candidate D,0.578947,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_026/metadata.json,0.959895,0.693257,0.210526,0.0,2,high_treatment_20260606_092841_026,0.661549,0.787709,0.5097,0.72484,0.426938,treatment,0.676316,0.676316,0.637607,0.637607,0.692599,0.692599,0.648664,0.8625,193720,0,0.0
1,6,0.62963,0.777778,high,0.383882,1.0,0,consensus,0.4,0.625,Candidate B,0.578947,0.763158,01_data/backup/backup_01/high/high_treatment_20260606_092841_027/metadata.json,0.946523,0.578431,0.368421,0.0,2,high_treatment_20260606_092841_027,0.855556,0.818017,0.584699,0.779766,0.604466,treatment,0.64375,0.64375,0.618832,0.618832,0.670526,0.670526,0.736413,0.725,218282,0,0.0
1,6,0.533333,0.985185,high,0.336842,1.0,0,consensus,0.4,0.546053,Candidate A,0.394737,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_028/metadata.json,0.939882,0.574372,0.157895,0.0,2,high_treatment_20260606_092841_028,0.84899,0.795434,0.592947,0.724673,0.50023,treatment,0.600329,0.600329,0.57625,0.57625,0.617697,0.617697,0.697224,1.0,198571,0,0.0
3,6,0.511111,0.940741,high,0.535746,1.0,1,consensus,0.8,0.578947,Candidate C,0.473684,0.894737,01_data/backup/backup_01/high/high_treatment_20260606_092841_029/metadata.json,0.942198,0.575788,0.421053,0.0,2,high_treatment_20260606_092841_029,0.850621,0.757201,0.674064,0.848152,0.6023,treatment,0.718421,0.718421,0.700888,0.700888,0.67557,0.67557,0.741282,0.816667,201727,0,0.5
3,6,0.607407,0.955556,high,0.371711,1.0,0,consensus,0.466667,0.644737,Candidate B,0.526316,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_030/metadata.json,0.952608,0.476304,0.289474,0.0,2,high_treatment_20260606_092841_030,0.728131,0.771816,0.625639,0.735045,0.408863,treatment,0.671272,0.671272,0.639222,0.639222,0.678947,0.678947,0.665576,0.85,213271,0,0.0
1,6,0.42963,0.933333,high,0.523684,1.0,1,consensus,0.8,0.506579,Candidate C,0.368421,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_031/metadata.json,0.959217,0.532899,0.315789,0.0,2,high_treatment_20260606_092841_031,0.961111,0.771529,0.697242,0.737562,0.638515,treatment,0.678618,0.678618,0.666513,0.666513,0.633355,0.633355,0.745948,1.0,152655,0,0.5
1,6,0.518519,0.866667,high,0.409211,1.0,0,consensus,0.4,0.605263,Candidate B,0.526316,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_032/metadata.json,0.959801,0.533223,0.289474,0.0,2,high_treatment_20260606_092841_032,0.848068,0.829791,0.389639,0.870448,0.492443,treatment,0.632895,0.632895,0.61375,0.61375,0.664737,0.664737,0.706257,1.0,236740,0,0.0
2,9,0.548148,1.0,high,0.445395,1.0,0,consensus,0.4,0.625,Candidate B,0.5,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_033/metadata.json,0.944535,0.577216,0.605263,0.0,3,high_treatment_20260606_092841_033,0.882323,0.7769,0.604937,0.675191,0.409129,treatment,0.64375,0.64375,0.628059,0.628059,0.682829,0.682829,0.667752,0.45,331843,0,0.0
